District Name;Stadt or Landkreis;cases per 100k;IR 7 per 100k;Population;cases;Last Update Date;AGS-Number
Flensburg;Kreisfreie Stadt;1940.90767933987;84.2908477884743;90164.0;1750.0;11.03.2021, 00:00 Uhr;01001
Kiel;Kreisfreie Stadt;1446.95576067489;38.4936424710487;246794.0;3571.0;11.03.2021, 00:00 Uhr;01002
Lübeck;Kreisfreie Stadt;2030.20366692837;28.6334457119106;216530.0;4396.0;11.03.2021, 00:00 Uhr;01003
Neumünster;Kreisfreie Stadt;1498.8278717143;54.8655793306399;80196.0;1202.0;11.03.2021, 00:00 Uhr;01004
Dithmarschen;Kreis;1011.31440841486;12.0126433070807;133193.0;1347.0;11.03.2021, 00:00 Uhr;01051
Herzogtum Lauenburg;Kreis;1666.50674935234;70.7002863361597;198019.0;3300.0;11.03.2021, 00:00 Uhr;01053
Nordfriesland;Kreis;1289.53727305048;28.9242005170201;165951.0;2140.0;11.03.2021, 00:00 Uhr;01054
Ostholstein;Kreis;1133.44536474202;34.9059285226315;200539.0;2273.0;11.03.2021, 00:00 Uhr;01055
Pinneberg;Kreis;2422.944420015;44.2893613790442;316103.0;7659.0;11.03.2021, 00:00 Uhr;01056
Plön;Kreis;721.135166218548;23.3125592527548;128686.0;928.0;11.03.2021, 00:00 Uhr;01057
Rendsburg-Eckernförde;Kreis;1027.36977285496;39.4019657202898;274098.0;2816.0;11.03.2021, 00:00 Uhr;01058
Schleswig-Flensburg;Kreis;1073.79347372189;50.7069140368669;201156.0;2160.0;11.03.2021, 00:00 Uhr;01059
Segeberg;Kreis;1624.96617660323;74.3212771714621;277175.0;4504.0;11.03.2021, 00:00 Uhr;01060
Steinburg;Kreis;1085.38847289964;21.3719249234809;131013.0;1422.0;11.03.2021, 00:00 Uhr;01061
Stormarn;Kreis;2040.90827176068;75.7712282311309;244156.0;4983.0;11.03.2021, 00:00 Uhr;01062
Hamburg;Kreisfreie Stadt;2920.49870808168;66.314684561346;1847253.0;53949.0;11.03.2021, 00:00 Uhr;02000
Braunschweig;Kreisfreie Stadt;1617.04209201062;50.5200356045965;249406.0;4033.0;11.03.2021, 00:00 Uhr;03101
