District Name;Stadt or Landkreis;cases per 100k;IR 7 per 100k;Population;cases;Last Update Date;AGS-Number
Flensburg;Kreisfreie Stadt;2369.01645889712;41.0363337917572;90164.0;2136.0;21.04.2021, 00:00 Uhr;01001
Kiel;Kreisfreie Stadt;1817.30512087004;82.6600322536204;246794.0;4485.0;21.04.2021, 00:00 Uhr;01002
Lübeck;Kreisfreie Stadt;2383.04161086224;58.1905509629151;216530.0;5160.0;21.04.2021, 00:00 Uhr;01003
Neumünster;Kreisfreie Stadt;1970.17307596389;63.5941942241508;80196.0;1580.0;21.04.2021, 00:00 Uhr;01004
Dithmarschen;Kreis;1288.35599468441;57.0600557086333;133193.0;1716.0;21.04.2021, 00:00 Uhr;01051
Herzogtum Lauenburg;Kreis;2265.94417707392;118.170478590438;198019.0;4487.0;21.04.2021, 00:00 Uhr;01053
Nordfriesland;Kreis;1467.90317623877;37.3604256678176;165951.0;2436.0;21.04.2021, 00:00 Uhr;01054
Ostholstein;Kreis;1421.66860311461;76.7930427497893;200539.0;2851.0;21.04.2021, 00:00 Uhr;01055
Pinneberg;Kreis;2970.86709079003;93.6403640585505;316103.0;9391.0;21.04.2021, 00:00 Uhr;01056
Plön;Kreis;894.425189997358;45.0709478886592;128686.0;1151.0;21.04.2021, 00:00 Uhr;01057
Rendsburg-Eckernförde;Kreis;1296.98137162621;55.08978540522;274098.0;3555.0;21.04.2021, 00:00 Uhr;01058
Schleswig-Flensburg;Kreis;1301.47746027958;36.7873690071387;201156.0;2618.0;21.04.2021, 00:00 Uhr;01059
Segeberg;Kreis;2231.08144673942;69.991882384775;277175.0;6184.0;21.04.2021, 00:00 Uhr;01060
Steinburg;Kreis;1511.30040530329;87.7775487928679;131013.0;1980.0;21.04.2021, 00:00 Uhr;01061
Stormarn;Kreis;2529.93987450646;104.441422696964;244156.0;6177.0;21.04.2021, 00:00 Uhr;01062
Hamburg;Kreisfreie Stadt;3721.14702209172;112.816165408853;1847253.0;68739.0;21.04.2021, 00:00 Uhr;02000
Braunschweig;Kreisfreie Stadt;2173.96534165176;110.662935133878;249406.0;5422.0;21.04.2021, 00:00 Uhr;03101
Salzgitter;Kreisfreie Stadt;4142.25580347297;277.109242408261;104291.0;4320.0;21.04.2021, 00:00 Uhr;03102
Wolfsburg;Kreisfreie Stadt;2499.7788873612;157.593008016338;124371.0;3109.0;21.04.2021, 00:00 Uhr;03103
Gifhorn;Landkreis;2952.58974751166;107.068200744379;176523.0;5212.0;21.04.2021, 00:00 Uhr;03151
Goslar;Landkreis;1610.51272268365;91.7148475332375;136292.0;2195.0;21.04.2021, 00:00 Uhr;03153
Helmstedt;Landkreis;2320.99630875056;107.341971806303;91297.0;2119.0;21.04.2021, 00:00 Uhr;03154
Northeim;Landkreis;1489.96484862229;73.3265298408739;132285.0;1971.0;21.04.2021, 00:00 Uhr;03155
Peine;Landkreis;3457.6894830157;155.043360212461;134801.0;4661.0;21.04.2021, 00:00 Uhr;03157
Wolfenbüttel;Landkreis;2006.31990770928;123.723060975406;119622.0;2400.0;21.04.2021, 00:00 Uhr;03158
Göttingen;Landkreis;2104.02986127512;80.9714115709374;326041.0;6860.0;21.04.2021, 00:00 Uhr;03159
Region Hannover;Landkreis;3638.18635139982;135.855122438133;1157115.0;42098.0;21.04.2021, 00:00 Uhr;03241
Diepholz;Landkreis;2644.53749383893;93.9706756215193;217089.0;5741.0;21.04.2021, 00:00 Uhr;03251
Hameln-Pyrmont;Landkreis;2504.22419538334;88.1863896761338;148549.0;3720.0;21.04.2021, 00:00 Uhr;03252
Hildesheim;Landkreis;2790.61841728392;90.2772490455628;275817.0;7697.0;21.04.2021, 00:00 Uhr;03254
Holzminden;Landkreis;1928.80865196287;86.5764001248971;70458.0;1359.0;21.04.2021, 00:00 Uhr;03255
Nienburg (Weser);Landkreis;2659.19762748167;120.273498640745;121390.0;3228.0;21.04.2021, 00:00 Uhr;03256
Schaumburg;Landkreis;2582.05550627297;154.606513749842;157820.0;4075.0;21.04.2021, 00:00 Uhr;03257
Celle;Landkreis;2257.96180123009;100.552480015195;179011.0;4042.0;21.04.2021, 00:00 Uhr;03351
Cuxhaven;Landkreis;2092.52769670467;77.2578999989901;198038.0;4144.0;21.04.2021, 00:00 Uhr;03352
Harburg;Landkreis;2298.85509234331;86.0744170325157;254431.0;5849.0;21.04.2021, 00:00 Uhr;03353
Lüchow-Dannenberg;Landkreis;1346.77352722466;37.1808642485334;48412.0;652.0;21.04.2021, 00:00 Uhr;03354
Lüneburg;Landkreis;1568.92347628694;78.2017932105638;184139.0;2889.0;21.04.2021, 00:00 Uhr;03355
Osterholz;Landkreis;2068.85050207148;71.0975352854434;113928.0;2357.0;21.04.2021, 00:00 Uhr;03356
Rotenburg (Wümme);Landkreis;2022.81080949066;83.0372079959947;163782.0;3313.0;21.04.2021, 00:00 Uhr;03357
Heidekreis;Landkreis;2079.29026892154;95.9672431809942;140673.0;2925.0;21.04.2021, 00:00 Uhr;03358
Stade;Landkreis;2095.23157565326;126.153966515412;204512.0;4285.0;21.04.2021, 00:00 Uhr;03359
Uelzen;Landkreis;2137.70037558584;103.908473952527;92389.0;1975.0;21.04.2021, 00:00 Uhr;03360
